VIN,VIN Number,Dealer_code
876248,SMTDAD72H4J876248,160055
898940,SMTHDA404ZK898940,160055
852585,SMTDAD76HWJ852585,160055
870349,SMTDAD76HWJ870349,160055
838740,SMTHDA404ZJ838740,160055
841167,SMTDAD78GDJ841167,160055
866004,SMTDAD74GDJ866004,160055
908002,SMTDAD74GDK908002,160055
898786,SMTDAD74GDK898786,160055
885591,SMTTRE20B8J885591,160055
864255,SMTHDA404ZJ864255,160055
906594,SMTTRE21B8K906594,160055
853905,SMTDAD75HWJ853905,160055
857449,SMTDAD70GDJ857449,160055
852757,SMTDAD76HWJ852757,160055
897318,SMTV1F45E9J897318,160055
908044,SMTDAD74GDK908044,160055
